x, y
469.4789136422209, 0.26340685806658837
479.4044576390833, 0.31545738824769354
499.75187143817595, 0.37066239425023806
519.6030016975744, 0.3359620855728974
539.9503732309934, 0.24921138104464016
548.8833924141411, 0.18296523951139806
552.3573349263266, 0.16088323711038036
559.3052199506976, 0.12776023350885368
567.7419555941511, 0.14826493083405753
578.6600666704019, 0.23343846461668938
589.0818942069585, 0.35331230707666217
599.0074382038209, 0.46845423430919286
619.3548520029135, 0.6388012347093625
640.1985070760265, 0.717665615353833
657.0719783629338, 0.7444794658171985
680.3970088688441, 0.7728706885214721
699.7518555885483, 0.7413249228306649
