x, y
490.5918092275925, 0.7378741018144127
493.47496581917255, 0.7471620013889244
497.26859665434654, 0.7636738814480057
500.3034935684345, 0.778121754527221
505.0075921854929, 0.8039215341608139
509.7116908025514, 0.8276573507595029
516.2367249833788, 0.8503611638682587
520.9408236004374, 0.8627450958850508
528.9833127000181, 0.8782249724541991
539.3019777160197, 0.8720330174320436
549.7723765928195, 0.8390092573138808
560.3945351772553, 0.7667698479728431
567.6783032791689, 0.6904024686170349
571.6236679751413, 0.6439628389095902
575.872539162967, 0.5851392991578344
579.9696506431566, 0.5345716994356193
584.3702556917806, 0.48090808924360484
588.6191139561874, 0.42827652648648556
593.0197190048115, 0.3900928368085814
597.4203369768543, 0.35397315411054364
603.0348904523785, 0.3240454044621804
609.7116714174231, 0.2992775843735582
620.4855897094951, 0.2899896408540845
629.7420401593948, 0.28586171478427636
642.4886149526153, 0.2817337008245438
650.8345846972118, 0.2755417677748694
664.188146627301, 0.2600618912057211
678.6039360469109, 0.2394220850768316
687.5568929283763, 0.2260061275976252
690.1365624132313, 0.22084619803788383
699.6965064315655, 0.2074303284486018
