x,tx_aligned,ty_aligned,phase_aligned_deg,CoPE,CrPE
469.478913642221,0.263406858066588,0.181387934435584,281.308225058002,0.0302555901647761,0.0208867876528837
479.404457639083,0.315457388247694,0.268855591930855,265.120759929743,0.0393422717132114,0.0465560748430617
499.751871438176,0.370662394250238,0.428627815946928,228.502670041012,0.0276435945979088,0.132912612959467
519.603001697574,0.335962085572897,0.475248713278362,203.859836134977,0.0116728811712454,0.157693050036369
539.950373230993,0.24921138104464,0.494551192587115,180.132339121468,0.0150480701623764,0.138295527103381
548.883392414141,0.182965239511398,0.499713218091575,178.959392751088,0.0250898600423323,0.116504929560118
552.357334926327,0.16088323711038,0.504731848062348,178.646726293204,0.0295692912693544,0.110749535946419
559.305219950698,0.127760233508854,0.517063374373063,171.551551823252,0.0382476611688386,0.103590944023309
567.741955594151,0.148264930834058,0.541439686717291,124.614531227634,0.0559842181807087,0.101585493853164
578.660066670402,0.233438464616689,0.568325248963266,87.9117383978599,0.0967889368381458,0.0919546158477321
589.081894206959,0.353312307076662,0.611987384245997,78.9316794007385,0.145594682710463,0.104084389693583
599.007438203821,0.468454234309193,0.635646691722829,77.2553143495366,0.188719242741417,0.123028800428778
619.354852002914,0.638801234709362,0.687997595247782,78.0849972955468,0.26572095052308,0.174982903743388
640.198507076027,0.717665615353833,0.733201877586748,77.0538446206479,0.322100216015,0.204214248363964
657.071978362934,0.744479465817198,0.730520508660097,73.7626671626069,0.348013309564119,0.195941634734115
680.397008868844,0.772870688521472,0.752365924031174,68.9513268657191,0.395268618957772,0.186423173451696
699.751855588548,0.741324922830665,0.710356283301805,65.2737623083876,0.373677111525561,0.153407233692562
