Wavelength [nm],Refractive Index (Re),Refractive Index (Im)
401.715265866209,5.03432494279176,1.77288603492391
402.208597951525,5.02824475856988,1.76531927743763
402.701930036842,5.02539104185278,1.75720531686461
403.195262122158,5.02538148268307,1.74871924717213
403.688594207474,5.02783377110338,1.74003616232747
404.18192629279,5.03236559715631,1.73133115629791
404.675258378106,5.03859465088449,1.72277932305071
405.168590463422,5.04613862233053,1.71455575655317
405.661922548738,5.05461520153704,1.70683555077255
406.155254634054,5.06364207854665,1.69978025872512
406.64858671937,5.07283694340197,1.6932113284126
407.141918804686,5.08181748614562,1.68659337296803
407.635250890002,5.09020139682021,1.67937411618383
408.128582975319,5.09765885517679,1.67100128185244
408.621915060635,5.10421172697908,1.6609479998927
409.115247145951,5.11002636060144,1.64927716618969
409.608579231267,5.11526954730422,1.636644472354
410.101911316583,5.12010807834776,1.62373162207948
410.595243401899,5.12470874499242,1.61121973004953
411.088575487215,5.12922410945737,1.59945832907112
411.581907572531,5.13368133950988,1.58791317720239
412.075239657847,5.13804237554239,1.57590439306302
412.568571743163,5.14226859878881,1.5627520952727
413.06190382848,5.14632139048303,1.54773410296237
413.555235913796,5.15016213185894,1.52979125522904
414.048567999112,5.15375220415045,1.50772535989619
414.541900084428,5.15704847226962,1.48227314696367
415.035232169744,5.15997360498762,1.45758835622866
415.52856425506,5.16243461834381,1.43760832611912
416.021896340376,5.16433844728411,1.42200291828803
416.515228425692,5.16559202675442,1.4084928813763
417.008560511008,5.16610849007428,1.3947890570043
417.501892596324,5.16590266664143,1.37925095515569
417.995224681641,5.16507251756637,1.36243527825211
418.488556766957,5.16371844210975,1.34536349016503
418.981888852273,5.16194083953222,1.32904504915303
419.475220937589,5.15984010909442,1.31368220006263
419.968553022905,5.15751665005702,1.29817331838427
420.461885108221,5.15507086168066,1.28130110995201
420.955217193537,5.15256571065838,1.2624354543366
421.448549278853,5.14974279112547,1.24224462758744
421.941881364169,5.14618008349321,1.22157071537251
422.435213449485,5.14145427049733,1.20111080036458
422.928545534801,5.13514203487354,1.18111631218838
423.421877620118,5.12685928739991,1.16175334568519
423.915209705434,5.11697897285493,1.14318789301339
424.40854179075,5.10655823367534,1.12558049465724
424.901873876066,5.09667876755564,1.10908362542543
425.395205961382,5.08812529904167,1.09384910936788
425.888538046698,5.08069515268558,1.08002877053454
426.381870132014,5.0739806996348,1.0677009175462
426.87520221733,5.06757431103675,1.05664102193219
427.368534302646,5.06106853304593,1.04654658703138
427.861866387962,5.05415670985204,1.0371151161114
428.355198473279,5.04680175850056,1.02804411243983
428.848530558595,5.03901118189058,1.01903421783399
429.341862643911,5.0307924971892,1.00992069787031
429.835194729227,5.02218841856597,1.00072136713255
430.328526814543,5.01335261254991,0.991467043331326
430.821858899859,5.00446055398095,0.982188544177255
431.315190985175,4.99567753878646,0.972916687380962
431.808523070491,4.98701833856383,0.963682217017716
432.301855155807,4.97838275585637,0.954485319383617
432.795187241123,4.96966768760121,0.945248574137923
433.288519326439,4.96077003073549,0.93588242409124
433.781851411756,4.95159032968698,0.926297312054174
434.275183497072,4.94218186466845,0.916403680837332
434.768515582388,4.93280289651557,0.906121006539183
435.261847667704,4.9237260668644,0.895536416778235
435.75517975302,4.91522401735101,0.88488503586744
436.248511838336,4.90751805328722,0.874407071271332
436.741843923652,4.90038527162242,0.864342730454437
437.235176008968,4.89337514996218,0.854932220881285
437.728508094284,4.88603531736174,0.846358552834977
438.2218401796,4.87791375232535,0.838531763393844
438.715172264917,4.86886906434441,0.831280546704455
439.208504350233,4.85964107418999,0.824433583011515
439.701836435549,4.85112479543907,0.817819552559723
440.195168520865,4.84413980323071,0.811267135593782
440.688500606181,4.83853436697401,0.804605050419206
441.181832691497,4.83348219555251,0.797731865372007
441.675164776813,4.8281433924803,0.79076058437167
442.168496862129,4.82167806128071,0.783845224148979
442.661828947445,4.81354968465932,0.777139801434723
443.155161032761,4.80442390327607,0.770798332959685
443.648493118077,4.79526408411597,0.764974835454653
444.141825203394,4.7870000820565,0.75978327576092
444.63515728871,4.77987822921282,0.755092214854441
445.128489374026,4.7735065596759,0.75067730558624
445.621821459342,4.76746865366577,0.746314025591072
446.115153544658,4.76134809140246,0.741777852503692
446.608485629974,4.75473216210187,0.736844263958855
447.10181771529,4.74747138249658,0.731288737591315
447.595149800606,4.73984956522947,0.724886751035829
448.088481885922,4.73219091715536,0.717461135059919
448.581813971238,4.72481964512907,0.709231891486842
449.075146056555,4.71803593796797,0.700617343836578
449.568478141871,4.71186906531872,0.692037278934979
450.061810227187,4.70617736805139,0.683911483607894
450.555142312503,4.70081650663487,0.676615501795606
451.048474397819,4.69564214286224,0.670173296659128
451.541806483135,4.69053471572489,0.664441083928907
452.035138568451,4.68546281071816,0.659274044030355
452.528470653767,4.68041460660162,0.654527357388885
453.021802739083,4.67537828213483,0.65005620442991
453.515134824399,4.67034201607733,0.645715765578843
454.008466909716,4.66529398718871,0.641361221261099
454.501798995032,4.66022237422851,0.63684775691513
454.995131080348,4.65511645040519,0.632063524029773
455.488463165664,4.64998998119528,0.627008083548423
455.98179525098,4.64488085238778,0.621704507850593
456.475127336296,4.63982796982397,0.616175869315794
456.968459421612,4.63487023934518,0.610445240323537
457.461791506928,4.6300465667927,0.604535693253333
457.955123592244,4.62539585800784,0.598470300484693
458.44845567756,4.62095455983297,0.592272134397129
458.941787762876,4.61671431483848,0.585961305962713
459.435119848193,4.61262765601087,0.579544492590517
459.928451933509,4.60864580287684,0.573024564501256
460.421784018825,4.60471997496314,0.566404391668138
460.915116104141,4.60080139179647,0.559686844064371
461.408448189457,4.59684127290357,0.552874791663166
461.901780274773,4.59279083790941,0.545975358963179
462.395112360089,4.58861695295123,0.539035457778031
462.888444445405,4.58434564023264,0.532123716729962
463.381776530721,4.58001689998345,0.525308984085591
463.875108616037,4.57567073243347,0.518660108111538
464.368440701354,4.57134713781253,0.512245937074423
464.86177278667,4.56708611635046,0.506135319240865
465.355104871986,4.56292766827707,0.500396621323256
465.848436957302,4.55891179382217,0.495041810049411
466.341769042618,4.55507203555804,0.489974305630879
466.835101127934,4.55140764345257,0.485085194130714
467.32843321325,4.54790652830332,0.480265561611969
467.821765298566,4.54455659370121,0.475406494137698
468.315097383882,4.54134574323713,0.470399077770955
468.808429469198,4.53826188050199,0.465134398574794
469.301761554515,4.53529290908668,0.459503542612267
469.795093639831,4.53242673258212,0.453404518484876
470.288425725147,4.52965293298056,0.446872899606097
470.781757810463,4.52697376917313,0.440070772190975
471.275089895779,4.52439729026988,0.433164929729429
471.768421981095,4.52193157509824,0.426322165711378
472.261754066411,4.51958470248565,0.419709273626739
472.755086151727,4.51736475125954,0.413493046965433
473.248418237043,4.51527980024735,0.407827077020211
473.741750322359,4.51333792827653,0.402718536202019
474.235082407675,4.5115472141745,0.398083379409803
474.728414492992,4.50991573676872,0.39383618066267
475.221746578308,4.50845123078206,0.389891513979724
475.715078663624,4.5071445415206,0.386163953380071
476.20841074894,4.5059622938046,0.382568072882814
476.701742834256,4.50486924213635,0.379018446507062
477.195074919572,4.50383014101813,0.375429648271916
477.688407004888,4.50280974495222,0.371716252196483
478.181739090204,4.5017728084409,0.367800373273365
478.67507117552,4.50068408598646,0.363678636732028
479.168403260836,4.49950833209119,0.359390150694344
479.661735346153,4.49821030125735,0.354974517866694
480.155067431469,4.49675634130919,0.350471340955459
480.648399516785,4.49514756399488,0.345920222667022
481.141731602101,4.49341883025105,0.341360765707763
481.635063687417,4.49160639133331,0.336832572784062
482.128395772733,4.48974649849728,0.332375246602301
482.621727858049,4.48787540299859,0.328028036443578
483.115059943365,4.48602935609286,0.323813498306145
483.608392028681,4.4842446090357,0.319730620222115
484.101724113997,4.48255741308273,0.315776610389677
484.595056199314,4.48099974546474,0.31194867700702
485.08838828463,4.47957386405718,0.308244028272334
485.581720369946,4.47826940394462,0.304659872383808
486.075052455262,4.47707595417807,0.301193417539632
486.568384540578,4.47598310380857,0.297841871937996
487.061716625894,4.47498044188716,0.294602443777088
487.55504871121,4.47405755746486,0.291472278697696
488.048380796526,4.4732040395927,0.288446109470176
488.541712881842,4.47240947732172,0.285515545436464
489.035044967158,4.47166345970293,0.282671988294916
489.528377052474,4.47095557578739,0.279906839743892
490.021709137791,4.47027568999844,0.277211501481747
490.515041223107,4.46961564453654,0.274577375206839
491.008373308423,4.46896814607598,0.271995862617526
491.501705393739,4.46832590491943,0.269458365412166
491.995037479055,4.46768163136954,0.266956285289116
492.488369564371,4.467028035729,0.264481023946733
492.981701649687,4.46635782830046,0.262024989294545
493.475033735003,4.46566371938661,0.259587762584651
493.968365820319,4.46493841929011,0.257172040008893
494.461697905635,4.46417463831362,0.254780530428809
494.955029990952,4.46336508675982,0.252415942705937
495.448362076268,4.46250327894986,0.250080985701817
495.941694161584,4.46158869553963,0.247778368277984
496.4350262469,4.46062350078748,0.24551079929598
496.928358332216,4.45960987181459,0.24328098761734
497.421690417532,4.45854998574219,0.241091642103604
497.915022502848,4.45744601969146,0.238945471178579
498.408354588164,4.45630015078362,0.236845111356277
498.90168667348,4.45511455613987,0.234793047925079
499.395018758796,4.45389141288139,0.232791747067466
499.888350844112,4.45263289812942,0.230843674965921
500.381682929429,4.45134118900513,0.228951297802926
500.875015014745,4.45001846262974,0.227117081760963
501.368347100061,4.44866689612445,0.225343493022514
501.861679185377,4.44728882636761,0.223632997770061
502.355011270693,4.44589082545891,0.221988062186086
502.848343356009,4.44448403790092,0.220411152453071
503.341675441325,4.4430798355137,0.218904734752889
503.835007526641,4.44168959011735,0.21747015293603
504.328339611957,4.44032467353195,0.216104370966069
504.821671697273,4.43899645757758,0.214803284530755
505.31500378259,4.43771631407431,0.213562789317836
505.808335867906,4.43649561484225,0.212378781015059
506.301667953222,4.43534573170146,0.211247155310173
506.795000038538,4.43427803647202,0.210163807890925
507.288332123854,4.43330390097403,0.209124634445063
507.78166420917,4.43243453957818,0.208125530660336
508.274996294486,4.43166913087988,0.207162392224492
508.768328379802,4.43098653415598,0.206231183557403
509.261660465118,4.43036365072685,0.205330275246895
509.754992550434,4.4297773819129,0.204461017957384
510.24832463575,4.42920462903449,0.203624947516125
510.741656721067,4.42862229341201,0.202823599750373
511.234988806383,4.42800727636585,0.202058510487383
511.728320891699,4.4273364792164,0.201331215554413
