x, y
469.44282688579284, 281.3669972623394
479.2961916558749, 265.3194489372603
498.5337276213716, 230.01485173338503
519.6480978259513, 203.803854617206
540.2932744558634, 179.73253212958736
558.1231697569447, 178.12778185272882
569.8533887462473, 112.86776262725563
578.2991128519138, 88.26151578793517
587.6833040274663, 79.1678929219919
600.3519101661038, 77.02824107167858
619.5894661117384, 78.09804421858831
640.703836316318, 77.02824107167858
659.4721387468717, 73.28381616625968
680.1173353569218, 69.004466909139
699.8240648970858, 65.2600420037201
