wavelength,phase
469.4428268857928,281.3669972623394
469.9045127335108,280.7580710318256
470.36619858122884,280.1316450777113
470.82788442894685,279.4882531071978
471.28957027666485,278.8284288274864
471.7512561243829,278.1527059457781
472.2129419721009,277.4616181692745
472.67462781981897,276.7556992051764
473.13631366753697,276.0354827606855
473.59799951525497,275.3015025430027
474.059685362973,274.5542922593294
474.52137121069103,273.79438561686663
474.98305705840903,273.0223163228159
475.4447429061271,272.23861808437823
475.9064287538451,271.4438246087549
476.3681146015631,270.63846960314714
476.82980044928115,269.8230867747563
477.29148629699915,268.9982098307835
477.75317214471715,268.16437247843004
478.2148579924352,267.32210842489695
478.6765438401532,266.4719513773858
479.1382296878713,265.6144350430975
479.5999155355893,264.75009312923356
480.0616013833073,263.87945934299506
480.52328723102534,263.00306739158316
480.98497307874334,262.12145098219935
481.44665892646134,261.23514382204456
481.9083447741794,260.34467961832013
482.3700306218974,259.45059207822743
482.8317164696154,258.5534149089676
483.29340231733346,257.6536818177418
483.75508816505146,256.7519265117514
484.21677401276946,255.8486826981976
484.6784598604875,254.94448408428144
485.1401457082055,254.03986437720445
485.6018315559236,253.1353572841676
486.0635174036416,252.2314965123723
486.5252032513596,251.32881576901985
486.98688909907764,250.42784876131117
487.44857494679565,249.5291291964478
487.91026079451365,248.6331907816309
488.3719466422317,247.74056722406155
488.8336324899497,246.85179223094116
489.2953183376677,245.9673995094709
489.75700418538577,245.0879227668519
490.21869003310377,244.21389571028558
490.68037588082177,243.3458520469731
491.14206172853983,242.48432548411563
491.60374757625783,241.6298497289145
492.0654334239759,240.78295848857087
492.5271192716939,239.94418547028596
492.9888051194119,239.1140643812611
493.45049096712995,238.29312892869746
493.91217681484795,237.48191281979635
494.37386266256595,236.68094976175885
494.835548510284,235.89077346178627
495.297234358002,235.1119176270799
495.75892020572,234.34491596484094
496.2206060534381,233.59030218227042
496.6822919011561,232.84860998657
497.14397774887414,232.12037308494052
497.60566359659214,231.40612518458346
498.06734944431014,230.7063999926999
498.5290352920282,230.0217312164911
498.9907211397462,229.35244901036845
499.4524069874642,228.698044108069
499.91409283518226,228.05779089187
500.37577868290026,227.4309637438283
500.83746453061826,226.8168370460007
501.2991503783363,226.21468518044378
501.7608362260543,225.6237825292147
502.2225220737723,225.04340347437002
502.6842079214904,224.47282239796652
503.1458937692084,223.91131368206118
503.6075796169264,223.35815170871072
504.06926546464445,222.81261085997187
504.53095131236245,222.27396551790153
504.9926371600805,221.74149006455636
505.4543230077985,221.21445888199332
505.9160088555165,220.6921463522692
506.37769470323457,220.1738268574407
506.83938055095257,219.6587747795647
507.30106639867057,219.14626450069804
507.76275224638863,218.63557040289737
508.22443809410663,218.12596686821965
508.6861239418247,217.61672827872158
509.1478097895427,217.10712901646002
509.6094956372607,216.59644346349182
510.07118148497875,216.08394600187356
510.53286733269675,215.5689110136623
510.99455318041475,215.0506128809148
511.4562390281328,214.52832598568764
511.9179248758508,214.0013247100379
512.3796107235688,213.46888343602225
512.8412965712869,212.93027654569752
513.3029824190048,212.3847784211206
513.7646682667229,211.83166344434798
514.2263541144409,211.27020599743668
514.688039962159,210.69968046244358
515.1497258098769,210.1193612214255
515.611411657595,209.52852265643898
516.0730975053131,208.926439149541
516.534783353031,208.31238508278855
516.9964692007491,207.68563483823797
517.4581550484671,207.04546279794633
