x, y
469.4789136422209, 0.1813879344355842
480.3970247184717, 0.277602469418725
499.2555878984818, 0.42744483965878527
519.1067181578802, 0.4747633874473543
538.4615226119108, 0.4936908468618387
549.3796759538352, 0.5000000000000001
558.3126528713093, 0.5141955441870424
569.23076394756, 0.5457413098778496
578.1637831307078, 0.5662460743681477
589.0818942069585, 0.6119873842459972
599.0074382038209, 0.6356466917228291
619.8511355426076, 0.689274459814654
638.7096987226178, 0.7334384646166895
658.5607867163426, 0.730283921630156
680.3970088688441, 0.7523659240311737
700.7444226679368, 0.7082019192291382
