wavelength,tx,ty
469.4789136422209,0.2634068580665883,0.1813879344355842
469.94038246375663,0.2660313581377058,0.1850442564635098
470.40185128529237,0.26864064444693486,0.18875336951584012
470.8633201068281,0.27123398957890293,0.19251297780790427
471.32478892836383,0.27381066611823734,0.19632078555503138
471.78625774989956,0.27636994664956555,0.2001744969725507
472.24772657143524,0.27891110375751443,0.20407181627579088
472.70919539297097,0.281433410026712,0.20801044768008198
473.1706642145067,0.2839361380417854,0.2119880954007527
473.63213303604243,0.28641856038736185,0.2160024636531323
474.09360185757816,0.28887994964806885,0.2200512566525498
474.5550706791139,0.2913195784085336,0.22413217861433443
475.0165395006496,0.29373671925338357,0.22824293375381538
475.47800832218536,0.2961306447672461,0.23238122628632177
475.9394771437211,0.29850062753474843,0.23654476042718275
476.4009459652568,0.30084594014051813,0.24073124039172758
476.8624147867925,0.303165855169182,0.24493837039528474
477.32388360832823,0.3054596452053681,0.24916385465318458
477.78535242986396,0.3077265828337035,0.2534053973807557
478.2468212513997,0.30996594063881566,0.25766070279332715
478.7082900729354,0.31217699120533177,0.2619274751062282
479.16975889447116,0.31435900711787923,0.26620341853478796
479.6312277160069,0.3165112609610854,0.27048623729433574
480.0926965375426,0.31863302531957766,0.27477363560020046
480.55416535907835,0.3207235727779832,0.2790633176677114
481.0156341806141,0.32278217592092967,0.2833529877121978
481.47710300214976,0.32480810733304394,0.2876403499489882
481.9385718236855,0.32680063959895395,0.29192310859341286
482.4000406452212,0.32875904530328676,0.29619896786080036
482.86150946675696,0.33068259703066977,0.3004656319664799
483.3229782882927,0.3325705673657302,0.3047208051257806
483.7844471098284,0.3344222288930956,0.30896219155403165
484.24591593136415,0.33623685419739335,0.3131874954665622
484.7073847528999,0.3380137158632506,0.3173944210787015
485.1688535744356,0.33975208647529476,0.32158067260577866
485.63032239597135,0.34145123861815324,0.32574395426312275
486.091791217507,0.3431104448764532,0.3298819702660624
486.55326003904275,0.34472897783482237,0.33399242482992797
487.0147288605785,0.3463061100778879,0.338073022170048
487.4761976821142,0.34784111419027713,0.3421214665017517
487.93766650364995,0.34933326275661747,0.34613546204036816
488.3991353251857,0.3507818283615361,0.3501127130012266
488.8606041467214,0.3521860835896606,0.3540509235996562
489.32207296825715,0.35354530102561815,0.35794779805098603
489.7835417897929,0.35485875325403626,0.3618010405705453
